airlineName,flightNumber,craftTypeName,departureDate,arrivalDate,departureCityTlc,departureCityName,departureAirportTlc,departureAirportName,departureAirportTerminal,arrivalCityTlc,arrivalCityName,arrivalAirportTlc,arrivalAirportName,arrivalAirportTerminal,price
华夏航空,G54927,庞巴迪900,2020-07-06 17:05:00,2020-07-06 20:40:00,AAT,阿勒泰,AAT,阿勒泰机场,,HTN,和田,HTN,和田机场,,500
幸福航空,JR1593,新舟60,2020-07-06 16:25:00,2020-07-06 17:00:00,AAT,阿勒泰,AAT,阿勒泰机场,,KJI,布尔津,KJI,喀纳斯机场,,208
华夏航空,G54927,庞巴迪900,2020-07-06 17:05:00,2020-07-06 18:30:00,AAT,阿勒泰,AAT,阿勒泰机场,,KRL,库尔勒,KRL,库尔勒机场,,250
幸福航空,JR1598,新舟60,2020-07-06 21:30:00,2020-07-06 22:40:00,AAT,阿勒泰,AAT,阿勒泰机场,,KRY,克拉玛依,KRY,克拉玛依机场,,150
南方航空,CZ6836,波音737,2020-07-06 15:35:00,2020-07-06 17:00:00,AAT,阿勒泰,AAT,阿勒泰机场,,YIN,伊宁市,YIN,伊宁机场,,340
南方航空,CZ6844,波音737,2020-07-06 15:45:00,2020-07-06 16:55:00,AAT,阿勒泰,AAT,阿勒泰机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T3,390
天津航空,GS7556,巴航工190,2020-07-06 13:35:00,2020-07-06 14:45:00,AAT,阿勒泰,AAT,阿勒泰机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T2,385
南方航空,CZ6846,波音737,2020-07-06 23:10:00,2020-07-07 00:20:00,AAT,阿勒泰,AAT,阿勒泰机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T3,380
南方航空,CZ6842,波音737,2020-07-06 10:20:00,2020-07-06 11:30:00,AAT,阿勒泰,AAT,阿勒泰机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T3,580
天津航空,GS7556,巴航工190,2020-07-06 13:35:00,2020-07-06 14:45:00,AAT,阿勒泰,AAT,阿勒泰机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T2,385
南方航空,CZ6844,波音737,2020-07-06 15:45:00,2020-07-06 16:55:00,AAT,阿勒泰,AAT,阿勒泰机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T3,390
南方航空,CZ6846,波音737,2020-07-06 23:10:00,2020-07-07 00:20:00,AAT,阿勒泰,AAT,阿勒泰机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T3,380
南方航空,CZ6836,波音737,2020-07-06 15:35:00,2020-07-06 17:00:00,AAT,阿勒泰,AAT,阿勒泰机场,,YIN,伊宁市,YIN,伊宁机场,,340
华夏航空,G52679,庞巴迪900,2020-07-06 08:30:00,2020-07-06 09:20:00,ACX,兴义,ACX,兴义机场,T2,BFJ,毕节,BFJ,飞雄机场,,160
南方航空,CZ3924,空客319,2020-07-06 20:05:00,2020-07-06 21:40:00,ACX,兴义,ACX,兴义机场,T2,CAN,广州,CAN,白云国际机场,T2,910
华夏航空,G52679,庞巴迪900,2020-07-06 08:30:00,2020-07-06 12:20:00,ACX,兴义,ACX,兴义机场,T2,CGO,郑州,CGO,新郑国际机场,T2,480
华夏航空,G52618,庞巴迪900,2020-07-06 07:20:00,2020-07-06 08:40:00,ACX,兴义,ACX,兴义机场,T2,CKG,重庆,CKG,江北国际机场,T2,600
成都航空,EU2214,空客320,2020-07-06 23:30:00,2020-07-07 01:00:00,ACX,兴义,ACX,兴义机场,T2,CTU,成都,CTU,双流国际机场,T2,390
